name,rating,position,nation,team,pac,sho,pas,dri,def,phy
Bruno Fernandes,86,CAM,Portugal,Manchester United,72,86,88,81,67,76
Parejo,86,CM,Spain,Villarreal CF,50,83,90,80,71,68
A. Laporte,86,CB,Spain,Manchester City,61,50,72,69,86,79
K. Coman,86,LM,France,FC Bayern München,92,77,79,87,30,61
M. Brozović,86,CDM,Croatia,Inter,69,74,81,81,81,78
N. Barella,86,CM,Italy,Inter,79,76,83,84,77,81
L. Martínez,86,ST,Argentina,Inter,83,83,72,85,48,84
M. Škriniar,86,CB,Slovakia,Inter,78,41,57,69,88,86
C. Nkunku,86,CAM,France,RB Leipzig,88,81,83,88,65,66
É. Mendy,86,GK,Senegal,Chelsea,84,82,81,88,34,85
Vinícius Jr.,86,LW,Brazil,Real Madrid CF,95,79,74,90,29,67
S. Milinković-Savić,86,CM,Serbia,Lazio,68,80,82,82,79,86
N. Süle,85,CB,Germany,Borussia Dortmund,71,48,66,59,85,83
N. Fekir,85,CAM,France,Real Betis Balompié,83,82,82,87,38,80
S. Gnabry,85,RM,Germany,FC Bayern München,82,84,79,85,43,69
İ. Gündoğan,85,CM,Germany,Manchester City,64,80,85,85,72,72
K. Walker,85,RB,England,Manchester City,91,63,77,78,80,82
P. Aubameyang,85,ST,Gabon,Chelsea,87,84,74,79,36,68
Jordi Alba,85,LB,Spain,FC Barcelona,84,70,82,82,77,70
Sergio Busquets,85,CDM,Spain,FC Barcelona,42,62,79,79,82,73
Iago Aspas,85,ST,Spain,RC Celta de Vigo,82,85,79,86,35,63
P. Pogba,85,CM,France,Juventus,67,80,85,85,62,80
M. Depay,85,CF,Netherlands,FC Barcelona,83,84,82,86,30,79
Jorginho,85,CM,Italy,Chelsea,54,67,86,81,73,73
M. Acuña,85,LB,Argentina,Sevilla FC,76,74,83,87,80,83
Gerard Moreno,85,ST,Spain,Villarreal CF,78,86,77,83,46,72
Y. Carrasco,85,LM,Belgium,Atlético de Madrid,89,82,80,87,53,67
F. Kostić,85,LM,Serbia,Juventus,84,78,82,82,68,80
J. Vardy,85,ST,England,Leicester City,84,84,70,79,52,72
Pedri,85,CM,Spain,FC Barcelona,79,67,81,87,68,73
P. Foden,85,CAM,England,Manchester City,82,78,81,88,56,60
M. de Ligt,85,CB,Netherlands,FC Bayern München,75,59,61,69,84,87
P. Schick,85,ST,Czech Republic,Bayer 04 Leverkusen,78,83,71,83,36,76
T. Hernández,85,LWB,France,AC Milan,93,72,76,81,78,83
Diogo Jota,85,ST,Portugal,Liverpool,85,83,75,85,57,77
P. Gulácsi,85,GK,Hungary,RB Leipzig,85,84,76,85,43,83
Y. Sommer,85,GK,Switzerland,Borussia Mönchengladbach,78,81,82,90,50,86
M. Reus,85,CAM,Germany,Borussia Dortmund,70,84,84,85,53,65
L. Hernández,84,CB,France,FC Bayern München,77,54,70,71,84,80
Sergio Ramos,84,CB,Spain,Paris Saint-Germain,61,69,73,70,83,77
A. Gómez,84,CAM,Argentina,Sevilla FC,86,78,83,85,39,54
S. Handanovič,84,GK,Slovenia,Inter,80,80,65,85,43,90
D. Mertens,84,CF,Belgium,Galatasaray SK,78,82,80,87,34,49
L. Suárez,84,ST,Uruguay,Club Nacional de Football,70,86,78,78,46,81
D. Tadić,84,LW,Serbia,Ajax,68,81,86,84,43,77
D. Berardi,84,RM,Italy,U.S. Sassuolo Calcio,82,81,81,86,36,71
T. Partey,84,CDM,Ghana,Arsenal,65,71,81,80,80,83
Y. Bounou,84,GK,Morocco,Sevilla FC,84,81,76,86,36,84
H. Çalhanoğlu,84,CM,Turkey,Inter,67,80,85,86,68,64
M. Kovačić,84,CM,Croatia,Chelsea,70,69,83,88,71,71
J. Grealish,84,LW,England,Manchester City,76,76,83,87,46,69
Carvajal,84,RB,Spain,Real Madrid CF,82,54,77,80,78,79
S. Savić,84,CB,Montenegro,Atlético de Madrid,64,35,58,58,87,80
E. Martínez,84,GK,Argentina,Aston Villa,85,83,82,85,58,83
R. Varane,84,CB,France,Manchester United,81,49,64,66,85,80
W. Ben Yedder,84,CF,France,AS Monaco,81,84,78,88,39,68
L. Insigne,84,CAM,Italy,Toronto FC,84,78,84,89,36,45
M. Hummels,84,CB,Germany,Borussia Dortmund,53,59,76,72,87,78
S. de Vrij,84,CB,Netherlands,Inter,68,41,65,69,87,79
J. Matip,84,CB,Cameroon,Liverpool,61,46,69,71,87,78
K. Casteels,84,GK,Belgium,VfL Wolfsburg,84,82,79,86,45,84
Canales,84,RM,Spain,Real Betis Balompié,83,79,85,82,68,71
Muniain,84,LM,Spain,Athletic Club de Bilbao,81,77,82,87,51,61
K. Trippier,84,RB,England,Newcastle United,70,64,82,77,80,72
L. Bonucci,84,CB,Italy,Juventus,54,59,69,71,85,78
Á. Di María,84,RW,Argentina,Juventus,79,79,84,87,48,67
E. Hazard,84,LW,Belgium,Real Madrid CF,83,80,82,87,35,63
I. Perišić,84,LM,Croatia,Tottenham Hotspur,78,81,79,82,74,78
E. Džeko,84,ST,Bosnia and Herzegovina,Inter,63,84,71,77,45,75
G. Chiellini,84,CB,Italy,Los Angeles FC,65,46,60,58,85,83
R. De Paul,84,CM,Argentina,Atlético de Madrid,78,77,83,82,75,81
J. Bellingham,84,CM,England,Borussia Dortmund,75,75,78,84,77,80
F. Chiesa,84,RM,Italy,Juventus,91,81,76,86,48,73
M. Diaby,84,RM,France,Bayer 04 Leverkusen,93,73,75,87,42,59
J. Tartt,84,CAM,England,AFC Richmond,83,87,80,85,29,74
Rafael Leão,84,LW,Portugal,AC Milan,91,77,73,86,27,74
J. Koundé,84,CB,France,FC Barcelona,84,45,64,74,85,78
Y. Tielemans,84,CM,Belgium,Leicester City,56,80,86,81,70,73
S. Tonali,84,CDM,Italy,AC Milan,81,73,81,79,79,82
L. Díaz,84,RM,Colombia,Liverpool,91,80,75,87,34,73
Éder Militão,84,CB,Brazil,Real Madrid CF,86,50,70,72,85,82
F. Valverde,84,CM,Uruguay,Real Madrid CF,87,74,80,79,78,80
L. Sané,84,LM,Germany,FC Bayern München,88,81,80,85,38,66
R. James,84,RWB,England,Chelsea,81,70,82,82,80,82
A. Bastoni,84,CB,Italy,Inter,73,35,69,71,86,82
K. Havertz,84,CAM,Germany,Chelsea,81,79,79,84,45,66
João Félix,84,CAM,Portugal,Atlético de Madrid,83,80,81,88,40,67
A. Hakimi,84,RB,Morocco,Paris Saint-Germain,92,75,79,80,75,78
A. Davies,84,LM,Canada,FC Bayern München,94,66,77,85,76,77
D. Rice,84,CDM,England,West Ham United,71,64,74,76,82,83
M. Mount,84,CAM,England,Chelsea,74,81,85,82,55,67
J. Sancho,84,CAM,England,Manchester United,81,74,81,89,36,59
F. Tomori,84,CB,England,AC Milan,86,40,60,66,86,81
F. Kessié,84,CDM,Côte d'Ivoire,FC Barcelona,78,76,74,79,82,87
Oyarzabal,84,LW,Spain,Real Sociedad,79,83,80,83,41,62
L. Pellegrini,84,CAM,Italy,Roma,79,77,83,84,74,78
W. Ndidi,84,CB,Nigeria,Leicester City,66,62,68,73,85,83
Marcos Llorente,84,CAM,Spain,Atlético de Madrid,88,79,81,82,78,81
M. Ødegaard,84,CAM,Norway,Arsenal,76,75,86,84,58,63
D. Vlahović,84,ST,Serbia,Juventus,80,85,66,78,28,79
Diego Carlos,83,CB,Brazil,Aston Villa,76,47,63,67,82,82
Angeliño,83,LM,Spain,TSG Hoffenheim,78,71,82,84,76,70
O. Dembélé,83,LM,France,FC Barcelona,93,77,79,87,36,56
Marco Asensio,83,RW,Spain,Real Madrid CF,82,80,81,83,43,62
Rúben Neves,83,CM,Portugal,Wolverhampton Wanderers,58,74,86,77,76,73
Merino,83,CM,Spain,Real Sociedad,73,78,81,82,82,81
K. Laimer,83,CDM,Austria,RB Leipzig,84,68,78,79,81,78
P. Kimpembe,83,CB,France,Paris Saint-Germain,80,43,68,69,83,86
Fabián,83,CM,Spain,Paris Saint-Germain,61,79,80,83,74,72
F. Mendy,83,LB,France,Real Madrid CF,92,64,77,78,78,84
Ronaldo Cabrais,83,RM,Brazil,Palmeiras,88,77,83,84,35,72
Gabriel Jesus,83,ST,Brazil,Arsenal,84,82,74,86,40,74
Unai Simón,83,GK,Spain,Athletic Club de Bilbao,82,79,77,85,49,85
V. Osimhen,83,ST,Nigeria,Napoli,90,82,65,78,40,81
P. Højbjerg,83,CDM,Denmark,Tottenham Hotspur,55,73,77,77,80,82
C. Romero,83,CB,Argentina,Tottenham Hotspur,73,46,57,65,85,82
Raphinha,83,LM,Brazil,FC Barcelona,91,79,77,85,50,73
Carlos Soler,83,CM,Spain,Paris Saint-Germain,80,77,83,80,71,72
G. Kobel,83,GK,Switzerland,Borussia Dortmund,84,80,74,88,43,79
Pau Torres,83,CB,Spain,Villarreal CF,73,38,67,70,84,81
C. Gakpo,83,RM,Netherlands,PSV,87,82,77,84,41,74
R. Araujo,83,CB,Uruguay,FC Barcelona,77,51,65,61,83,83
R. Kent,83,CDM,England,AFC Richmond,58,71,78,75,79,83
D. Zapata,83,ST,Colombia,Atalanta,78,82,63,79,35,85
Á. Correa,83,CF,Argentina,Atlético de Madrid,85,84,77,87,50,74
J. Giménez,83,CB,Uruguay,Atlético de Madrid,71,46,57,60,85,83
T. Lemar,83,CAM,France,Atlético de Madrid,82,78,83,87,68,64
Bremer,83,CB,Brazil,Juventus,78,50,56,65,84,79
J. Cuadrado,83,RB,Colombia,Juventus,90,75,78,87,76,72
P. Zieliński,83,CAM,Poland,Napoli,81,77,81,86,70,62
Jesús Navas,83,RB,Spain,Sevilla FC,85,68,82,81,79,57
Piqué,83,CB,Spain,FC Barcelona,56,61,71,68,83,76
K. Schmeichel,83,GK,Denmark,OGC Nice,81,78,79,86,45,81
J. Henderson,83,CM,England,Liverpool,66,74,83,78,78,81
Fernando,83,CDM,Brazil,Sevilla FC,65,62,76,73,83,81
L. Hrádecký,83,GK,Finland,Bayer 04 Leverkusen,84,77,69,87,40,82
David Silva,83,CAM,Spain,Real Sociedad,61,72,86,85,52,53
O. Baumann,83,GK,Germany,TSG Hoffenheim,83,82,79,84,49,79
A. Griezmann,83,CAM,France,Atlético de Madrid,80,82,83,85,52,72
Luis Alberto,83,CM,Spain,Lazio,54,75,86,83,57,57
Roberto Firmino,83,CF,Brazil,Liverpool,74,76,79,87,59,78
J. Stones,83,CB,England,Manchester City,72,51,71,75,84,77
H. Ziyech,83,RW,Morocco,Chelsea,76,77,87,83,50,65
Koke,83,CM,Spain,Atlético de Madrid,70,72,84,79,78,79
Ricardo Pereira,83,RB,Portugal,Leicester City,79,67,79,81,80,73
J. Maddison,82,CAM,England,Leicester City,73,78,84,85,54,62
G. Rulli,82,GK,Argentina,Villarreal CF,82,79,80,83,54,81
A. Kramarić,82,CF,Croatia,TSG Hoffenheim,71,80,79,85,30,72
Rafa,82,RW,Portugal,SL Benfica,91,73,75,86,50,52
G. Di Lorenzo,82,RB,Italy,Napoli,85,66,73,77,78,80
David Soria,82,GK,Spain,Getafe CF,82,81,73,83,43,81
M. Locatelli,82,CM,Italy,Juventus,63,72,79,78,79,79
R. Gosens,82,LWB,Germany,Inter,82,75,74,79,77,80
Gonçalo Guedes,82,ST,Portugal,Wolverhampton Wanderers,86,83,74,83,38,70
J. Tah,82,CB,Germany,Bayer 04 Leverkusen,67,37,59,61,83,85
A. Christensen,82,CB,Denmark,FC Barcelona,68,32,66,70,84,74
E. Can,82,CB,Germany,Borussia Dortmund,79,78,77,80,82,87
Anderson Talisca,82,CF,Brazil,Al Nassr,80,82,78,83,52,75
J. Brandt,82,CAM,Germany,Borussia Dortmund,67,78,82,85,48,65
T. Werner,82,ST,Germany,RB Leipzig,90,80,69,82,35,69
Gayà,82,LB,Spain,Valencia CF,83,61,76,80,78,73
Otávio,82,RM,Portugal,FC Porto,78,69,80,85,63,71
Grimaldo,82,LB,Spain,SL Benfica,87,65,81,83,74,71
R. Guerreiro,82,CAM,Portugal,Borussia Dortmund,74,77,86,87,75,55
A. Onana,82,GK,Cameroon,Inter,81,80,86,83,61,80
M. Ginter,82,CB,Germany,Sport-Club Freiburg,60,59,71,66,84,79
S. Haller,82,ST,Côte d'Ivoire,Borussia Dortmund,65,80,62,74,52,82
Aritz Elustondo,82,CB,Spain,Real Sociedad,64,39,65,62,82,78
T. Abraham,82,ST,England,Roma,83,81,66,78,36,80
I. Bennacer,82,CM,Algeria,AC Milan,77,68,80,86,77,76
Álex Remiro,82,GK,Spain,Real Sociedad,83,76,79,84,42,85
D. Rojas,82,ST,Mexico,AFC Richmond,83,83,75,82,28,75
F. Wirtz,82,CAM,Germany,Bayer 04 Leverkusen,78,73,80,86,51,60
Antony,82,LM,Brazil,Manchester United,93,74,75,86,39,69
D. Núñez,82,ST,Uruguay,Liverpool,89,82,68,77,42,86
N. Schlotterbeck,82,CB,Germany,Borussia Dortmund,76,56,66,72,84,78
B. Saka,82,LM,England,Arsenal,84,74,78,83,65,65
Dani Olmo,82,CAM,Spain,RB Leipzig,67,76,81,86,50,59
A. Tchouaméni,82,CDM,France,Real Madrid CF,70,70,79,78,81,82
Ferran Torres,82,LW,Spain,FC Barcelona,84,79,79,83,35,67
N. Mazraoui,82,RM,Morocco,FC Bayern München,84,66,77,82,76,74
A. Danjuma,82,LM,Netherlands,Villarreal CF,88,81,75,82,42,68
A. Ramsdale,82,GK,England,Arsenal,83,77,85,84,48,78
Lucas Paquetá,82,CAM,Brazil,West Ham United,72,78,79,85,69,78
D. Dumfries,82,RWB,Netherlands,Inter,83,63,70,73,78,89
R. Malinovskyi,82,CF,Ukraine,Atalanta,76,81,83,81,64,80
R. Jiménez,82,ST,Mexico,Wolverhampton Wanderers,73,81,76,80,47,82
Josué Chiamulera,82,CB,Brazil,Club Athletico Paranaense,78,43,56,64,85,79
Lucas Mantela,82,GK,Brazil,Palmeiras,79,87,85,81,35,77
B. Chilwell,82,LWB,England,Chelsea,76,60,78,78,78,75
André Silva,82,ST,Portugal,RB Leipzig,74,83,70,82,47,78
C. Pulisic,82,RM,United States,Chelsea,87,71,73,86,37,59
J. Pickford,82,GK,England,Everton,84,77,87,87,51,80
Sergi Darder,82,CM,Spain,RCD Espanyol de Barcelona,82,74,82,83,74,77
W. Orban,82,CB,Hungary,RB Leipzig,57,36,53,56,84,81
I. Gueye,82,CDM,Senegal,Everton,67,66,72,78,83,76
Z. Ibrahimović,82,ST,Sweden,AC Milan,58,85,76,77,34,72
Iñigo Martínez,82,CB,Spain,Athletic Club de Bilbao,71,56,67,61,82,80
Ł. Fabiański,82,GK,Poland,West Ham United,82,82,71,82,49,83
I. Rakitić,82,CM,Croatia,Sevilla FC,53,80,86,78,75,68
D. Payet,82,CAM,France,Olympique de Marseille,70,78,84,83,40,65
Rui Patrício,82,GK,Portugal,Roma,82,80,77,83,55,80
O. Giroud,82,ST,France,AC Milan,42,83,72,73,42,78
S. Kjær,82,CB,Denmark,AC Milan,62,54,64,60,84,78
Yuri Berchiche,82,LB,Spain,Athletic Club de Bilbao,81,68,76,76,79,82
T. Alderweireld,82,CB,Belgium,Royal Antwerp FC,57,55,70,67,85,75
M. Arnautović,82,ST,Austria,Bologna,78,82,79,79,44,82
Azpilicueta,82,CB,Spain,Chelsea,64,55,76,72,84,76
Coutinho,82,CAM,Brazil,Aston Villa,62,79,80,88,52,59
C. Eriksen,82,CM,Denmark,Manchester United,61,78,88,80,53,52
Raúl Albiol,82,CB,Spain,Villarreal CF,38,41,62,63,85,71
S. Coates,82,CB,Uruguay,Sporting CP,68,49,55,62,84,87
L. Digne,82,LB,France,Aston Villa,78,69,80,79,77,76
Isco,82,CAM,Spain,Sevilla FC,65,75,80,88,59,58
G. Kondogbia,82,CDM,Central African Republic,Atlético de Madrid,68,75,77,76,81,88
Gabriel Paulista,82,CB,Brazil,Valencia CF,67,49,71,65,84,83
Nacho Fernández,82,CB,Spain,Real Madrid CF,75,37,69,70,82,80
K. Volland,82,ST,Germany,AS Monaco,70,85,79,80,46,84
L. Spinazzola,82,LWB,Italy,Roma,91,64,73,80,78,69
S. Berghuis,82,CAM,Netherlands,Ajax,80,82,83,82,40,69
A. Lopes,82,GK,Portugal,Olympique Lyonnais,84,78,71,86,63,80
L. Muriel,82,ST,Colombia,Atalanta,89,83,74,86,27,67
W. Zaha,82,LW,Côte d'Ivoire,Crystal Palace,91,79,73,86,37,76
F. Acerbi,82,CB,Italy,Inter,62,50,64,64,85,78
E. Ndicka,81,CB,France,Eintracht Frankfurt,80,51,71,73,81,79
T. Souček,81,CB,Czech Republic,West Ham United,57,72,73,72,82,85
A. Barák,81,CAM,Czech Republic,Fiorentina,74,79,80,81,65,75
M. Terrier,81,ST,France,Stade Rennais FC,85,81,75,78,36,70
D. Raum,81,LWB,Germany,RB Leipzig,87,59,77,78,71,77
Y. Bissouma,81,CDM,Mali,Tottenham Hotspur,72,68,75,79,80,77
A. Areola,81,GK,France,West Ham United,85,79,75,84,55,78
I. Sangaré,81,CDM,Côte d'Ivoire,PSV,66,66,73,75,81,86
J. Corona,81,RW,Mexico,Sevilla FC,82,65,80,86,73,67
T. Delaney,81,CDM,Denmark,Sevilla FC,72,71,74,73,82,81
A. Lacazette,81,ST,France,Olympique Lyonnais,70,81,76,83,44,74
N. Zaniolo,81,CAM,Italy,Roma,87,75,72,82,62,83
Neto,81,GK,Brazil,AFC Bournemouth,82,78,77,80,54,78
I. Konaté,81,CB,France,Liverpool,78,34,57,67,82,80
Pedro Porro,81,RWB,Spain,Sporting CP,82,71,75,80,75,78
Cucurella,81,LWB,Spain,Chelsea,76,68,78,80,77,74
L. Martínez,81,CDM,Argentina,Manchester United,72,60,76,77,82,83
Matheus Cunha,81,CAM,Brazil,Atlético de Madrid,84,82,75,84,32,74
Pedro Gonçalves,81,CAM,Portugal,Sporting CP,76,80,80,84,56,64
M. Taremi,81,ST,Iran,FC Porto,77,80,74,81,38,72
Rodrygo,81,RM,Brazil,Real Madrid CF,88,76,74,84,32,56
E. Tapsoba,81,CB,Burkina Faso,Bayer 04 Leverkusen,70,54,65,70,83,79
D. Kulusevski,81,CAM,Sweden,Tottenham Hotspur,78,77,79,83,56,76
Bruno Guimarães,81,CM,Brazil,Newcastle United,69,67,79,81,76,77
J. Gvardiol,81,CB,Croatia,RB Leipzig,82,54,69,74,80,83
J. Musiala,81,CAM,Germany,FC Bayern München,76,73,75,87,63,60
S. Obisanya,81,RM,Nigeria,AFC Richmond,89,74,78,81,71,73
Pablo Sarabia,81,RW,Spain,Paris Saint-Germain,73,76,82,82,57,59
Marc Bartra,81,CB,Spain,Trabzonspor,71,61,73,73,81,74
Felipe,81,CB,Brazil,Atlético de Madrid,59,43,59,61,81,83
H. Maguire,81,CB,England,Manchester United,48,57,68,67,80,84
Heberto Gaúcho,81,CB,Brazil,Clube Atlético Mineiro,71,61,57,63,82,80
Oswaldinato,81,ST,Brazil,Flamengo,76,81,67,77,20,78
Nailton Padrenda,81,CAM,Brazil,Clube Atlético Mineiro,82,73,77,82,52,70
Welington Dano,81,LB,Brazil,Clube Atlético Mineiro,79,54,76,79,75,74
Adriano Bisesi,81,ST,Brazil,RB Bragantino,78,84,62,72,33,71
Rosival Dourado,81,CDM,Brazil,Sport Club Corinthians Paulista,77,57,74,77,82,68
Adryan Zonta,81,LWB,Brazil,RB Bragantino,93,66,75,76,72,77
G. Mancini,81,CB,Italy,Roma,67,45,50,59,81,87
G. Rodríguez,81,CDM,Argentina,Real Betis Balompié,51,57,71,68,84,77
D. Upamecano,81,CB,France,FC Bayern München,82,43,61,68,80,81
Palhinha,81,CB,Portugal,Fulham,63,65,70,72,82,89
D. Zakaria,81,CDM,Switzerland,Chelsea,82,64,73,77,80,85
M. Akanji,81,CB,Switzerland,Manchester City,77,48,70,74,83,78
A. Zambo Anguissa,81,CDM,Cameroon,Napoli,78,68,71,81,80,84
K. Tierney,81,LWB,Scotland,Arsenal,84,60,75,78,76,79
M. Rashford,81,ST,England,Manchester United,87,82,75,81,41,71
Richarlison,81,ST,Brazil,Tottenham Hotspur,82,79,72,82,53,79
Gabriel,81,CB,Brazil,Arsenal,68,36,60,58,83,80
H. Mkhitaryan,81,CAM,Armenia,Inter,82,79,78,83,56,72
N. Otamendi,81,CB,Argentina,SL Benfica,63,57,62,59,83,81
M. Götze,81,CAM,Germany,Eintracht Frankfurt,67,74,83,84,55,67
C. Smalling,81,CB,England,Roma,62,47,58,60,83,80
N. Pope,81,GK,England,Newcastle United,80,82,75,83,49,80
Rafael Tolói,81,CB,Italy,Atalanta,67,52,59,65,82,82
E. Cavani,81,ST,Uruguay,Valencia CF,61,83,68,72,51,73
É. Banega,81,CM,Argentina,Al Shabab,62,74,83,82,75,72
Adán,81,GK,Spain,Sporting CP,79,82,78,80,55,83
G. Bale,81,ST,Wales,Los Angeles FC,80,84,81,79,55,69
J. Vertonghen,81,CB,Belgium,RSC Anderlecht,69,62,72,67,83,78
C. Vela,81,RW,Mexico,Los Angeles FC,77,79,76,83,30,64
João Moutinho,81,CM,Portugal,Wolverhampton Wanderers,47,71,84,79,71,66
Pepe,81,CB,Portugal,FC Porto,77,51,60,61,81,87
G. Lo Celso,81,CAM,Argentina,Villarreal CF,71,75,83,84,68,72
Oscar,81,CAM,Brazil,Shanghai Port FC,79,78,82,83,59,67
J. Gomez,81,CB,England,Liverpool,80,30,67,69,81,78
José Sá,81,GK,Portugal,Wolverhampton Wanderers,83,78,73,83,52,79
Borja Iglesias,81,ST,Spain,Real Betis Balompié,66,82,65,74,40,81
J. Ward-Prowse,81,CM,England,Southampton,59,74,86,78,67,73
L. Ocampos,81,RW,Argentina,Ajax,80,81,77,82,62,83
E. Višća,81,RM,Bosnia and Herzegovina,Trabzonspor,87,78,78,82,47,64
T. Savanier,81,CAM,France,Montpellier Hérault SC,64,76,84,83,69,68
E. Forsberg,81,CAM,Sweden,RB Leipzig,71,73,83,83,35,62
Lucas Vázquez,81,RB,Spain,Real Madrid CF,82,73,79,80,73,69
G. Laborde,81,ST,France,OGC Nice,74,81,76,79,40,79
J. Hofmann,81,CAM,Germany,Borussia Mönchengladbach,73,76,80,80,64,72
N. Tagliafico,81,LB,Argentina,Olympique Lyonnais,80,56,72,75,80,80
K. Demirbay,81,CM,Germany,Bayer 04 Leverkusen,69,76,81,82,71,72
O. Vlachodimos,81,GK,Greece,SL Benfica,84,78,67,84,43,78
V. Grifo,81,LM,Italy,Sport-Club Freiburg,74,75,80,81,40,63
R. Andrich,81,CDM,Germany,Bayer 04 Leverkusen,63,76,76,73,79,85
R. Le Normand,81,CB,France,Real Sociedad,63,25,53,58,83,80
Ricardo Horta,81,CF,Portugal,SC Braga,79,82,79,80,43,70
S. Lobotka,81,CM,Slovakia,Napoli,71,68,79,81,73,70
K. Phillips,81,CDM,England,Manchester City,66,65,77,76,79,82
M. Uribe,81,CM,Colombia,FC Porto,75,76,75,79,80,82
L. Torreira,81,CDM,Uruguay,Galatasaray SK,72,70,76,80,78,76
M. Pašalić,81,CAM,Croatia,Atalanta,75,79,76,80,67,77
N. Keïta,81,CAM,Guinea,Liverpool,69,74,76,86,69,68
C. Tolisso,81,CM,France,Olympique Lyonnais,69,78,77,79,77,77
H. Lozano,81,RW,Mexico,Napoli,93,76,72,82,41,62
M. Politano,81,RW,Italy,Napoli,83,77,78,84,42,55
A. Saint-Maximin,81,CAM,France,Newcastle United,90,73,73,88,27,68
S. Fofana,81,CM,Côte d'Ivoire,Racing Club de Lens,73,74,75,80,73,85
Iñaki Williams,81,ST,Ghana,Athletic Club de Bilbao,94,78,72,78,38,83
J. Musso,81,GK,Argentina,Atalanta,82,78,73,86,44,82
B. Bourigeaud,81,RW,France,Stade Rennais FC,76,77,83,81,66,76
Y. En-Nesyri,80,ST,Morocco,Sevilla FC,78,80,59,74,35,76
Javi Galán,80,LB,Spain,RC Celta de Vigo,78,55,74,82,75,71
